,Acadia,Allen,Ascension,Assumption,Avoyelles,Beauregard,Bienville,Bossier,Caddo,Calcasieu,Caldwell,Cameron,Catahoula,Claiborne,Concordia,De Soto,East Baton Rouge,East Carroll,East Feliciana,Evangeline,Franklin,Grant,Iberia,Iberville,Jackson,Jefferson,Jefferson Davis,LaSalle,Lafayette,Lafourche,Lincoln,Livingston,Madison,Morehouse,Natchitoches,Orleans,Ouachita,Plaquemines,Pointe Coupee,Rapides,Red River,Richland,Sabine,St. Bernard,St. Charles,St. Helena,St. James,St. John the Baptist,St. Landry,St. Martin,St. Mary,St. Tammany,Tangipahoa,Tensas,Terrebonne,Union,Vermilion,Vernon,Washington,Webster,West Baton Rouge,West Carroll,West Feliciana,Winn
Lincoln,0.0,0.0,0.0,0.0,0.0,0.0,28.79573692813359,0.0,0.0,0.0,0.0,0.0,0.0,24.57119559226608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.57195066794406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.954818193577875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.178154990220968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Livingston,0.0,0.0,19.63457274790064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.955403275331463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.322008584055606,0.0,26.514050109899216,0.0,0.0,0.0,0.0,23.11254902847165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.368964572482014,0.0,0.0,29.84633957337729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.66991866900455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.628155559073452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morehouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.28073876005362,0.0,0.0,0.0,0.0,27.818645645480352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.34831339221033,0.0,0.0,0.0,0.0,0.0,20.196426656780492,0.0,0.0
Natchitoches,0.0,0.0,0.0,0.0,0.0,0.0,43.05249699288562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.08630050814704,0.0,0.0,0.0,0.0,0.0,32.75585566785579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.11981022489351,29.220520156769528,0.0,29.170814240446916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.696143376160826,0.0,0.0,0.0,0.0,0.0,31.005264794940423
Orleans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.702652754693354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.31759067443758,0.0,0.0,0.0,0.0,0.0,26.308006042411908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.596498509375404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ouachita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68476587930152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.50684568382886,0.0,0.0,0.0,0.0,0.0,30.954818193577875,0.0,0.0,31.28073876005362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.246803629401228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.52024199170305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plaquemines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28858817899217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.31759067443758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.69932437181032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pointe Coupee,0.0,0.0,0.0,0.0,34.71208717336008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.78550455444229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.489644759556626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.295124176704757,39.98331864337375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.119551479897666,0.0,15.913680941219647,0.0
Rapides,0.0,41.46413571007063,0.0,0.0,32.62042840869887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.22740186930607,0.0,27.677604339228374,0.0,0.0,0.0,0.0,0.0,39.63047309409984,0.0,0.0,0.0,0.0,0.0,0.0,49.11981022489351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.07493550428555,0.0,0.0,0.0,0.0,0.0,0.0
Red River,0.0,0.0,0.0,0.0,0.0,0.0,24.144048056844653,43.206598383830695,46.211982586936244,0.0,0.0,0.0,0.0,0.0,0.0,23.464722966832813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.220520156769528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.493618593940308,0.0,0.0,0.0,0.0,0.0,0.0,37.69740376955513,0.0,0.0,20.29450878489174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.66991866900455,27.818645645480352,0.0,0.0,23.246803629401228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.185446955113758,0.0,0.0
Sabine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.521013266976766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.170814240446916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.280779899057954,0.0,0.0,0.0,0.0,0.0,0.0
St. Bernard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.308006042411908,0.0,29.69932437181032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.421720153163875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Charles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.031353672452358,0.0,0.0,0.0,23.71881602363585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.648073470335405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Helena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.132478156562996,0.0,19.990435579235825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.322008584055606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.574872718518083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. James,0.0,0.0,14.074020885199506,18.205255354671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.66262543888725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.48059507093434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. John the Baptist,0.0,0.0,26.890877939723204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.091033229238686,0.0,0.0,0.0,38.681719990976454,0.0,26.514050109899216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.648073470335405,0.0,20.48059507093434,0.0,0.0,0.0,0.0,36.35166510417589,34.675367243085205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Landry,32.23021271363037,0.0,0.0,0.0,32.88882117272904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.45920608155046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.231589600865586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.295124176704757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.13812852223418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Martin,0.0,0.0,0.0,36.34490263036696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.61183977570817,17.871239077780523,0.0,0.0,0.0,0.0,27.789094897934117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.98331864337375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.13812852223418,0.0,29.717579418954376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Mary,0.0,0.0,0.0,26.443045649642254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.839971892873947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.717579418954376,0.0,0.0,0.0,0.0,40.9048053144054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Tammany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.03321713978648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.596498509375404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.421720153163875,0.0,0.0,0.0,36.35166510417589,0.0,0.0,0.0,0.0,30.555887175695215,0.0,0.0,0.0,0.0,0.0,30.906429508151714,0.0,0.0,0.0,0.0,0.0
Tangipahoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.11254902847165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.574872718518083,0.0,34.675367243085205,0.0,0.0,0.0,30.555887175695215,0.0,0.0,0.0,0.0,0.0,0.0,26.760403272169178,0.0,0.0,0.0,0.0,0.0
Tensas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.73156384719007,0.0,42.179162254537864,0.0,0.0,0.0,0.0,0.0,21.573819437073137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.628155559073452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrebonne,0.0,0.0,0.0,35.56426989323324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.529513430422142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9048053144054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.13643252587375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.178154990220968,0.0,0.0,33.34831339221033,0.0,0.0,27.52024199170305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vermilion,31.039142423870636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24016041853893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7896718613729,0.0,0.0,0.0,41.27248304475942,0.0,29.314420093482564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vernon,0.0,37.84148322449,0.0,0.0,0.0,33.04612271498792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.696143376160826,0.0,0.0,0.0,0.0,39.07493550428555,0.0,0.0,38.280779899057954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.906429508151714,26.760403272169178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Webster,0.0,0.0,0.0,0.0,0.0,0.0,30.030220331866335,15.911303537252804,0.0,0.0,0.0,0.0,0.0,21.133504996710528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Baton Rouge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.934988426404518,0.0,30.72303880965181,0.0,0.0,0.0,0.0,14.291361796962477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.119551479897666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.374304760561202,0.0
West Carroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.478642112226876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.196426656780492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.185446955113758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Feliciana,0.0,0.0,0.0,0.0,37.070274762912526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.12223295854365,0.0,0.0,0.0,22.38401161730571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.913680941219647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.374304760561202,0.0,0.0,0.0
Winn,0.0,0.0,0.0,0.0,0.0,0.0,37.08566921888889,0.0,0.0,0.0,32.2073466545747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.16909496692356,0.0,0.0,25.086069199989417,0.0,0.0,33.53837286699173,0.0,0.0,0.0,0.0,0.0,0.0,31.005264794940423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
